failureReason,bucketName,tags
"Exceeded maximum transaction limit","Miscellaneous Issues","Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,PaymentLimitExceededException,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
PaymentGatewayErrorException,"Payment Gateway Issues","PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
PaymentGatewayDowntimeException,"Payment Gateway Issues","PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
PaymentTimeoutException,"Payment Gateway Issues","PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment gateway error","Payment Gateway Issues","PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Network connection timeout","Payment Gateway Issues","PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment gateway maintenance","Payment Gateway Issues","PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment processor error","Payment Gateway Issues","PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment gateway misconfiguration","Payment Gateway Issues","PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment processor unavailable","Payment Gateway Issues","PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"System upgrade in progress","Payment Gateway Issues","PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment gateway blocked","Payment Gateway Issues","PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment gateway integration error","Payment Gateway Issues","PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Technical issue with payment gateway","Payment Gateway Issues","PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment gateway security breach","Payment Gateway Issues","PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment gateway capacity reached","Payment Gateway Issues","PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment gateway configuration issue","Payment Gateway Issues","PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
PaymentValidationException,"Payment Method Issues","PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
PaymentVerificationFailureException,"Payment Method Issues","PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
"Incompatible payment method","Payment Method Issues","PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
"Payment method expired","Payment Method Issues","PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
"Invalid API credentials","Payment Method Issues","PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
"Incorrect payment method selected","Payment Method Issues","PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
"Payment method not accepted","Payment Method Issues","PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
"Payment source expired","Payment Method Issues","PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
"Payment method revoked","Payment Method Issues","PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
PaymentProcessingException,"System Issues","PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
ClassNotFoundException,"System Issues","PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
InvocationTargetException,"System Issues","PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
InterruptedException,"System Issues","PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
NoSuchMethodException,"System Issues","PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
NullPointerException,"System Issues","PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
ArrayIndexOutOfBoundsException,"System Issues","PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
IllegalStateException,"System Issues","PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
ClassCastException,"System Issues","PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
IllegalArgumentException,"System Issues","PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
"Payment Limit Exceeded Exception","Transaction Issues","Payment Limit Exceeded Exception,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Invalid payment amount","Transaction Issues","Payment Limit Exceeded Exception,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Transaction declined by merchant","Transaction Issues","Payment Limit Exceeded Exception,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Transaction amount exceeds limit","Transaction Issues","Payment Limit Exceeded Exception,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Invalid transaction ID","Transaction Issues","Payment Limit Exceeded Exception,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Duplicate transaction","Transaction Issues","Payment Limit Exceeded Exception,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Transaction ID already used","Transaction Issues","Payment Limit Exceeded Exception,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Transaction amount too low","Transaction Issues","Payment Limit Exceeded Exception,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Invalid merchant identification","Transaction Issues","Payment Limit Exceeded Exception,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Invalid payment request","Transaction Issues","Payment Limit Exceeded Exception,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Payment request expired","Transaction Issues","Payment Limit Exceeded Exception,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Payment request canceled","Transaction Issues","Payment Limit Exceeded Exception,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Duplicate payment request","Transaction Issues","Payment Limit Exceeded Exception,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
