failureReason,BucketName,tags
"Invalid check digit",DataAndInformationIssues,"Incorrect billing information,Incorrectly formatted payment data,Invalid account holder name,Invalid billing address,Invalid check digit,Invalid expiration date,Invalid merchant category code,Invalid security code"
"Invalid expiration date",DataAndInformationIssues,"Incorrect billing information,Incorrectly formatted payment data,Invalid account holder name,Invalid billing address,Invalid check digit,Invalid expiration date,Invalid merchant category code,Invalid security code"
"Cardholder disputed the transaction",FraudandSecurityIssues,"Cardholder authentication required,Cardholder disputed the transaction,Cardholders bank flagged transaction as fraudulent,Fraud detection triggered,Payment declined by third-party fraud system,Payment security violation,Payment source not authorized,PaymentDeclinedByIssuerException,Suspicious activity detected"
"Payment declined by third-party fraud system",FraudandSecurityIssues,"Cardholder authentication required,Cardholder disputed the transaction,Cardholders bank flagged transaction as fraudulent,Fraud detection triggered,Payment declined by third-party fraud system,Payment security violation,Payment source not authorized,PaymentDeclinedByIssuerException,Suspicious activity detected"
"Suspicious activity detected",FraudandSecurityIssues,"Cardholder authentication required,Cardholder disputed the transaction,Cardholders bank flagged transaction as fraudulent,Fraud detection triggered,Payment declined by third-party fraud system,Payment security violation,Payment source not authorized,PaymentDeclinedByIssuerException,Suspicious activity detected"
"Payment security violation",FraudandSecurityIssues,"Cardholder authentication required,Cardholder disputed the transaction,Cardholders bank flagged transaction as fraudulent,Fraud detection triggered,Payment declined by third-party fraud system,Payment security violation,Payment source not authorized,PaymentDeclinedByIssuerException,Suspicious activity detected"
"Fraud detection triggered",FraudandSecurityIssues,"Cardholder authentication required,Cardholder disputed the transaction,Cardholders bank flagged transaction as fraudulent,Fraud detection triggered,Payment declined by third-party fraud system,Payment security violation,Payment source not authorized,PaymentDeclinedByIssuerException,Suspicious activity detected"
"Cardholders bank flagged transaction as fraudulent",FraudandSecurityIssues,"Cardholder authentication required,Cardholder disputed the transaction,Cardholders bank flagged transaction as fraudulent,Fraud detection triggered,Payment declined by third-party fraud system,Payment security violation,Payment source not authorized,PaymentDeclinedByIssuerException,Suspicious activity detected"
"Payment source not authorized",FraudandSecurityIssues,"Cardholder authentication required,Cardholder disputed the transaction,Cardholders bank flagged transaction as fraudulent,Fraud detection triggered,Payment declined by third-party fraud system,Payment security violation,Payment source not authorized,PaymentDeclinedByIssuerException,Suspicious activity detected"
"Cardholder authentication required",FraudandSecurityIssues,"Cardholder authentication required,Cardholder disputed the transaction,Cardholders bank flagged transaction as fraudulent,Fraud detection triggered,Payment declined by third-party fraud system,Payment security violation,Payment source not authorized,PaymentDeclinedByIssuerException,Suspicious activity detected"
"Exceeded maximum allowable retries",MiscellaneousIssues,"Declined by risk management,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit,Exceeded transaction frequency limit,Incompatible browser or device,Payment processing error,Payment processing limit exceeded,Restricted card type,Restricted country for payment"
"Exceeded transaction frequency limit",MiscellaneousIssues,"Declined by risk management,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit,Exceeded transaction frequency limit,Incompatible browser or device,Payment processing error,Payment processing limit exceeded,Restricted card type,Restricted country for payment"
"Restricted country for payment",MiscellaneousIssues,"Declined by risk management,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit,Exceeded transaction frequency limit,Incompatible browser or device,Payment processing error,Payment processing limit exceeded,Restricted card type,Restricted country for payment"
"Payment processing limit exceeded",MiscellaneousIssues,"Declined by risk management,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit,Exceeded transaction frequency limit,Incompatible browser or device,Payment processing error,Payment processing limit exceeded,Restricted card type,Restricted country for payment"
"Restricted card type",MiscellaneousIssues,"Declined by risk management,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit,Exceeded transaction frequency limit,Incompatible browser or device,Payment processing error,Payment processing limit exceeded,Restricted card type,Restricted country for payment"
"Exceeded maximum transaction amount",MiscellaneousIssues,"Declined by risk management,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit,Exceeded transaction frequency limit,Incompatible browser or device,Payment processing error,Payment processing limit exceeded,Restricted card type,Restricted country for payment"
"Incompatible browser or device",MiscellaneousIssues,"Declined by risk management,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit,Exceeded transaction frequency limit,Incompatible browser or device,Payment processing error,Payment processing limit exceeded,Restricted card type,Restricted country for payment"
"Declined by risk management",MiscellaneousIssues,"Declined by risk management,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit,Exceeded transaction frequency limit,Incompatible browser or device,Payment processing error,Payment processing limit exceeded,Restricted card type,Restricted country for payment"
"Exceeded maximum transaction limit",MiscellaneousIssues,"Declined by risk management,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit,Exceeded transaction frequency limit,Incompatible browser or device,Payment processing error,Payment processing limit exceeded,Restricted card type,Restricted country for payment"
"Payment processing error",MiscellaneousIssues,"Declined by risk management,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit,Exceeded transaction frequency limit,Incompatible browser or device,Payment processing error,Payment processing limit exceeded,Restricted card type,Restricted country for payment"
"System upgrade in progress",PaymentGatewayIssues,"Network connection timeout,Payment gateway blocked,Payment gateway capacity reached,Payment gateway configuration issue,Payment gateway error,Payment gateway integration error,Payment gateway maintenance,Payment gateway misconfiguration,Payment gateway security breach,Payment processor error,Payment processor unavailable,PaymentGatewayDowntimeException,PaymentGatewayErrorException,PaymentTimeoutException,System upgrade in progress,Technical issue with payment gateway"
"Payment gateway maintenance",PaymentGatewayIssues,"Network connection timeout,Payment gateway blocked,Payment gateway capacity reached,Payment gateway configuration issue,Payment gateway error,Payment gateway integration error,Payment gateway maintenance,Payment gateway misconfiguration,Payment gateway security breach,Payment processor error,Payment processor unavailable,PaymentGatewayDowntimeException,PaymentGatewayErrorException,PaymentTimeoutException,System upgrade in progress,Technical issue with payment gateway"
"Payment gateway security breach",PaymentGatewayIssues,"Network connection timeout,Payment gateway blocked,Payment gateway capacity reached,Payment gateway configuration issue,Payment gateway error,Payment gateway integration error,Payment gateway maintenance,Payment gateway misconfiguration,Payment gateway security breach,Payment processor error,Payment processor unavailable,PaymentGatewayDowntimeException,PaymentGatewayErrorException,PaymentTimeoutException,System upgrade in progress,Technical issue with payment gateway"
"Payment gateway capacity reached",PaymentGatewayIssues,"Network connection timeout,Payment gateway blocked,Payment gateway capacity reached,Payment gateway configuration issue,Payment gateway error,Payment gateway integration error,Payment gateway maintenance,Payment gateway misconfiguration,Payment gateway security breach,Payment processor error,Payment processor unavailable,PaymentGatewayDowntimeException,PaymentGatewayErrorException,PaymentTimeoutException,System upgrade in progress,Technical issue with payment gateway"
"Payment processor error",PaymentGatewayIssues,"Network connection timeout,Payment gateway blocked,Payment gateway capacity reached,Payment gateway configuration issue,Payment gateway error,Payment gateway integration error,Payment gateway maintenance,Payment gateway misconfiguration,Payment gateway security breach,Payment processor error,Payment processor unavailable,PaymentGatewayDowntimeException,PaymentGatewayErrorException,PaymentTimeoutException,System upgrade in progress,Technical issue with payment gateway"
"Payment gateway configuration issue",PaymentGatewayIssues,"Network connection timeout,Payment gateway blocked,Payment gateway capacity reached,Payment gateway configuration issue,Payment gateway error,Payment gateway integration error,Payment gateway maintenance,Payment gateway misconfiguration,Payment gateway security breach,Payment processor error,Payment processor unavailable,PaymentGatewayDowntimeException,PaymentGatewayErrorException,PaymentTimeoutException,System upgrade in progress,Technical issue with payment gateway"
"Technical issue with payment gateway",PaymentGatewayIssues,"Network connection timeout,Payment gateway blocked,Payment gateway capacity reached,Payment gateway configuration issue,Payment gateway error,Payment gateway integration error,Payment gateway maintenance,Payment gateway misconfiguration,Payment gateway security breach,Payment processor error,Payment processor unavailable,PaymentGatewayDowntimeException,PaymentGatewayErrorException,PaymentTimeoutException,System upgrade in progress,Technical issue with payment gateway"
"Network connection timeout",PaymentGatewayIssues,"Network connection timeout,Payment gateway blocked,Payment gateway capacity reached,Payment gateway configuration issue,Payment gateway error,Payment gateway integration error,Payment gateway maintenance,Payment gateway misconfiguration,Payment gateway security breach,Payment processor error,Payment processor unavailable,PaymentGatewayDowntimeException,PaymentGatewayErrorException,PaymentTimeoutException,System upgrade in progress,Technical issue with payment gateway"
"Payment gateway error",PaymentGatewayIssues,"Network connection timeout,Payment gateway blocked,Payment gateway capacity reached,Payment gateway configuration issue,Payment gateway error,Payment gateway integration error,Payment gateway maintenance,Payment gateway misconfiguration,Payment gateway security breach,Payment processor error,Payment processor unavailable,PaymentGatewayDowntimeException,PaymentGatewayErrorException,PaymentTimeoutException,System upgrade in progress,Technical issue with payment gateway"
"Payment gateway misconfiguration",PaymentGatewayIssues,"Network connection timeout,Payment gateway blocked,Payment gateway capacity reached,Payment gateway configuration issue,Payment gateway error,Payment gateway integration error,Payment gateway maintenance,Payment gateway misconfiguration,Payment gateway security breach,Payment processor error,Payment processor unavailable,PaymentGatewayDowntimeException,PaymentGatewayErrorException,PaymentTimeoutException,System upgrade in progress,Technical issue with payment gateway"
"Payment processor unavailable",PaymentGatewayIssues,"Network connection timeout,Payment gateway blocked,Payment gateway capacity reached,Payment gateway configuration issue,Payment gateway error,Payment gateway integration error,Payment gateway maintenance,Payment gateway misconfiguration,Payment gateway security breach,Payment processor error,Payment processor unavailable,PaymentGatewayDowntimeException,PaymentGatewayErrorException,PaymentTimeoutException,System upgrade in progress,Technical issue with payment gateway"
"Payment gateway blocked",PaymentGatewayIssues,"Network connection timeout,Payment gateway blocked,Payment gateway capacity reached,Payment gateway configuration issue,Payment gateway error,Payment gateway integration error,Payment gateway maintenance,Payment gateway misconfiguration,Payment gateway security breach,Payment processor error,Payment processor unavailable,PaymentGatewayDowntimeException,PaymentGatewayErrorException,PaymentTimeoutException,System upgrade in progress,Technical issue with payment gateway"
"Payment gateway integration error",PaymentGatewayIssues,"Network connection timeout,Payment gateway blocked,Payment gateway capacity reached,Payment gateway configuration issue,Payment gateway error,Payment gateway integration error,Payment gateway maintenance,Payment gateway misconfiguration,Payment gateway security breach,Payment processor error,Payment processor unavailable,PaymentGatewayDowntimeException,PaymentGatewayErrorException,PaymentTimeoutException,System upgrade in progress,Technical issue with payment gateway"
"Incompatible payment method",PaymentMethodIssues,"Incompatible payment method,Incorrect payment method selected,Invalid API credentials,Payment method expired,Payment method not accepted,Payment method revoked,Payment source expired,PaymentValidationException,PaymentVerificationFailureException"
"Payment method not accepted",PaymentMethodIssues,"Incompatible payment method,Incorrect payment method selected,Invalid API credentials,Payment method expired,Payment method not accepted,Payment method revoked,Payment source expired,PaymentValidationException,PaymentVerificationFailureException"
"Payment method expired",PaymentMethodIssues,"Incompatible payment method,Incorrect payment method selected,Invalid API credentials,Payment method expired,Payment method not accepted,Payment method revoked,Payment source expired,PaymentValidationException,PaymentVerificationFailureException"
"Payment source expired",PaymentMethodIssues,"Incompatible payment method,Incorrect payment method selected,Invalid API credentials,Payment method expired,Payment method not accepted,Payment method revoked,Payment source expired,PaymentValidationException,PaymentVerificationFailureException"
"Invalid API credentials",PaymentMethodIssues,"Incompatible payment method,Incorrect payment method selected,Invalid API credentials,Payment method expired,Payment method not accepted,Payment method revoked,Payment source expired,PaymentValidationException,PaymentVerificationFailureException"
"Incorrect payment method selected",PaymentMethodIssues,"Incompatible payment method,Incorrect payment method selected,Invalid API credentials,Payment method expired,Payment method not accepted,Payment method revoked,Payment source expired,PaymentValidationException,PaymentVerificationFailureException"
"Payment method revoked",PaymentMethodIssues,"Incompatible payment method,Incorrect payment method selected,Invalid API credentials,Payment method expired,Payment method not accepted,Payment method revoked,Payment source expired,PaymentValidationException,PaymentVerificationFailureException"
"Transaction amount exceeds limit",TransactionIssues,"Duplicate payment request,Duplicate transaction,Invalid merchant identification,Invalid payment amount,Invalid payment request,Invalid transaction ID,Payment request canceled,Payment request expired,PaymentLimitExceededException,Transaction amount exceeds limit,Transaction amount too low,Transaction declined by merchant,Transaction ID already used"
"Invalid merchant identification",TransactionIssues,"Duplicate payment request,Duplicate transaction,Invalid merchant identification,Invalid payment amount,Invalid payment request,Invalid transaction ID,Payment request canceled,Payment request expired,PaymentLimitExceededException,Transaction amount exceeds limit,Transaction amount too low,Transaction declined by merchant,Transaction ID already used"
"Invalid payment request",TransactionIssues,"Duplicate payment request,Duplicate transaction,Invalid merchant identification,Invalid payment amount,Invalid payment request,Invalid transaction ID,Payment request canceled,Payment request expired,PaymentLimitExceededException,Transaction amount exceeds limit,Transaction amount too low,Transaction declined by merchant,Transaction ID already used"
"Duplicate transaction",TransactionIssues,"Duplicate payment request,Duplicate transaction,Invalid merchant identification,Invalid payment amount,Invalid payment request,Invalid transaction ID,Payment request canceled,Payment request expired,PaymentLimitExceededException,Transaction amount exceeds limit,Transaction amount too low,Transaction declined by merchant,Transaction ID already used"
"Invalid transaction ID",TransactionIssues,"Duplicate payment request,Duplicate transaction,Invalid merchant identification,Invalid payment amount,Invalid payment request,Invalid transaction ID,Payment request canceled,Payment request expired,PaymentLimitExceededException,Transaction amount exceeds limit,Transaction amount too low,Transaction declined by merchant,Transaction ID already used"
"Transaction declined by merchant",TransactionIssues,"Duplicate payment request,Duplicate transaction,Invalid merchant identification,Invalid payment amount,Invalid payment request,Invalid transaction ID,Payment request canceled,Payment request expired,PaymentLimitExceededException,Transaction amount exceeds limit,Transaction amount too low,Transaction declined by merchant,Transaction ID already used"
"Payment request canceled",TransactionIssues,"Duplicate payment request,Duplicate transaction,Invalid merchant identification,Invalid payment amount,Invalid payment request,Invalid transaction ID,Payment request canceled,Payment request expired,PaymentLimitExceededException,Transaction amount exceeds limit,Transaction amount too low,Transaction declined by merchant,Transaction ID already used"
"Transaction ID already used",TransactionIssues,"Duplicate payment request,Duplicate transaction,Invalid merchant identification,Invalid payment amount,Invalid payment request,Invalid transaction ID,Payment request canceled,Payment request expired,PaymentLimitExceededException,Transaction amount exceeds limit,Transaction amount too low,Transaction declined by merchant,Transaction ID already used"
"Payment request expired",TransactionIssues,"Duplicate payment request,Duplicate transaction,Invalid merchant identification,Invalid payment amount,Invalid payment request,Invalid transaction ID,Payment request canceled,Payment request expired,PaymentLimitExceededException,Transaction amount exceeds limit,Transaction amount too low,Transaction declined by merchant,Transaction ID already used"
"Invalid payment amount",TransactionIssues,"Duplicate payment request,Duplicate transaction,Invalid merchant identification,Invalid payment amount,Invalid payment request,Invalid transaction ID,Payment request canceled,Payment request expired,PaymentLimitExceededException,Transaction amount exceeds limit,Transaction amount too low,Transaction declined by merchant,Transaction ID already used"
"Transaction amount too low",TransactionIssues,"Duplicate payment request,Duplicate transaction,Invalid merchant identification,Invalid payment amount,Invalid payment request,Invalid transaction ID,Payment request canceled,Payment request expired,PaymentLimitExceededException,Transaction amount exceeds limit,Transaction amount too low,Transaction declined by merchant,Transaction ID already used"
"Duplicate payment request",TransactionIssues,"Duplicate payment request,Duplicate transaction,Invalid merchant identification,Invalid payment amount,Invalid payment request,Invalid transaction ID,Payment request canceled,Payment request expired,PaymentLimitExceededException,Transaction amount exceeds limit,Transaction amount too low,Transaction declined by merchant,Transaction ID already used"
