failureReason,BucketName,tags
"Incorrect CVV/CVC",CardRelatedIssues,"Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Incorrect card type selected",CardRelatedIssues,"Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Card declined by issuer",CardRelatedIssues,"Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Card blocked by cardholder",CardRelatedIssues,"Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Card not activated",CardRelatedIssues,"Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Card reported lost or stolen",CardRelatedIssues,"Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Incorrect cardholder name",CardRelatedIssues,"Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"card issue",CardRelatedIssues,"Invalid card number,Card expired,Card declined by issuer,Incorrect CVV/CVC,Card limit exceeded,Card reported lost or stolen,Card blocked by cardholder,Card not supported,Incorrect cardholder name,Card not activated,Incorrect card type selected"
"Temporary issue with payment service provider",CommunicationAndConnectionIssues,"Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Cardholders bank not reachable",CommunicationAndConnectionIssues,"Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Blocked IP address",CommunicationAndConnectionIssues,"Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Payment timeout",CommunicationAndConnectionIssues,"Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Network connectivity issues",CommunicationAndConnectionIssues,"Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Service temporarily unavailable",CommunicationAndConnectionIssues,"Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Server error",CommunicationAndConnectionIssues,"Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Payment processor downtime",CommunicationAndConnectionIssues,"Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Cardholders bank not participating",CommunicationAndConnectionIssues,"Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Server overload",CommunicationAndConnectionIssues,"Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Cardholders bank offline",CommunicationAndConnectionIssues,"Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Java Class not found",CommunicationAndConnectionIssues,"Payment timeout,Server error,Payment processor downtime,Cardholders bank not participating,Cardholders bank not reachable,Cardholders bank offline,Blocked IP address,Network connectivity issues,Service temporarily unavailable,Temporary issue with payment service provider,Server overload"
"Currency conversion error",CurrencyAndConversionIssues,"Invalid currency,Currency conversion error"
"Invalid currency",CurrencyAndConversionIssues,"Invalid currency,Currency conversion error"
"Invalid check digit",DataAndInformationIssues,"Invalid billing address,Invalid expiration date,Invalid security code,Incorrectly formatted payment data,Incorrect billing information,Invalid account holder name,Invalid check digit,Invalid merchant category code"
"Invalid merchant category code",DataAndInformationIssues,"Invalid billing address,Invalid expiration date,Invalid security code,Incorrectly formatted payment data,Incorrect billing information,Invalid account holder name,Invalid check digit,Invalid merchant category code"
"Invalid expiration date",DataAndInformationIssues,"Invalid billing address,Invalid expiration date,Invalid security code,Incorrectly formatted payment data,Incorrect billing information,Invalid account holder name,Invalid check digit,Invalid merchant category code"
"Invalid account holder name",DataAndInformationIssues,"Invalid billing address,Invalid expiration date,Invalid security code,Incorrectly formatted payment data,Incorrect billing information,Invalid account holder name,Invalid check digit,Invalid merchant category code"
"Invalid billing address",DataAndInformationIssues,"Invalid billing address,Invalid expiration date,Invalid security code,Incorrectly formatted payment data,Incorrect billing information,Invalid account holder name,Invalid check digit,Invalid merchant category code"
"Incorrect billing information",DataAndInformationIssues,"Invalid billing address,Invalid expiration date,Invalid security code,Incorrectly formatted payment data,Incorrect billing information,Invalid account holder name,Invalid check digit,Invalid merchant category code"
"Incorrectly formatted payment data",DataAndInformationIssues,"Invalid billing address,Invalid expiration date,Invalid security code,Incorrectly formatted payment data,Incorrect billing information,Invalid account holder name,Invalid check digit,Invalid merchant category code"
"Invalid security code",DataAndInformationIssues,"Invalid billing address,Invalid expiration date,Invalid security code,Incorrectly formatted payment data,Incorrect billing information,Invalid account holder name,Invalid check digit,Invalid merchant category code"
PaymentDeclinedByIssuerException,FraudandSecurityIssues,"PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Payment security violation",FraudandSecurityIssues,"PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Cardholder disputed the transaction",FraudandSecurityIssues,"PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Fraud detection triggered",FraudandSecurityIssues,"PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Suspicious activity detected",FraudandSecurityIssues,"PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Payment declined by third-party fraud system",FraudandSecurityIssues,"PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Cardholder authentication required",FraudandSecurityIssues,"PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Cardholders bank flagged transaction as fraudulent",FraudandSecurityIssues,"PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Payment source not authorized",FraudandSecurityIssues,"PaymentDeclinedByIssuerException,Suspicious activity detected,Cardholder authentication required,Cardholder disputed the transaction,Payment source not authorized,Fraud detection triggered,Payment declined by third-party fraud system,Cardholders bank flagged transaction as fraudulent,Payment security violation"
"Exceeded maximum transaction limit",MiscellaneousIssues,"Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Exceeded maximum allowable retries",MiscellaneousIssues,"Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Exceeded maximum transaction amount",MiscellaneousIssues,"Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Declined by risk management",MiscellaneousIssues,"Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Payment processing error",MiscellaneousIssues,"Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Payment processing limit exceeded",MiscellaneousIssues,"Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Restricted country for payment",MiscellaneousIssues,"Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Restricted card type",MiscellaneousIssues,"Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Exceeded transaction frequency limit",MiscellaneousIssues,"Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Incompatible browser or device",MiscellaneousIssues,"Payment processing error,Incompatible browser or device,Restricted card type,Restricted country for payment,Declined by risk management,Payment processing limit exceeded,Exceeded transaction frequency limit,Exceeded maximum allowable retries,Exceeded maximum transaction amount,Exceeded maximum transaction limit"
"Payment gateway maintenance",PaymentGatewayIssues,"PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
PaymentTimeoutException,PaymentGatewayIssues,"PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
PaymentGatewayDowntimeException,PaymentGatewayIssues,"PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
PaymentGatewayErrorException,PaymentGatewayIssues,"PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment gateway configuration issue",PaymentGatewayIssues,"PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment gateway capacity reached",PaymentGatewayIssues,"PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"System upgrade in progress",PaymentGatewayIssues,"PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment processor error",PaymentGatewayIssues,"PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment gateway integration error",PaymentGatewayIssues,"PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment gateway misconfiguration",PaymentGatewayIssues,"PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment gateway blocked",PaymentGatewayIssues,"PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment processor unavailable",PaymentGatewayIssues,"PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment gateway error",PaymentGatewayIssues,"PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Technical issue with payment gateway",PaymentGatewayIssues,"PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Network connection timeout",PaymentGatewayIssues,"PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Payment gateway security breach",PaymentGatewayIssues,"PaymentGatewayErrorException,PaymentGatewayDowntimeException,PaymentTimeoutException,Payment gateway error,Network connection timeout,Payment gateway maintenance,Payment processor error,Payment gateway misconfiguration,Payment processor unavailable,System upgrade in progress,Payment gateway blocked,Payment gateway integration error,Technical issue with payment gateway,Payment gateway security breach,Payment gateway capacity reached,Payment gateway configuration issue"
"Invalid API credentials",PaymentMethodIssues,"PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
PaymentValidationException,PaymentMethodIssues,"PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
"Payment method not accepted",PaymentMethodIssues,"PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
PaymentVerificationFailureException,PaymentMethodIssues,"PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
"Payment method expired",PaymentMethodIssues,"PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
"Incompatible payment method",PaymentMethodIssues,"PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
"Payment source expired",PaymentMethodIssues,"PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
"Incorrect payment method selected",PaymentMethodIssues,"PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
"Payment method revoked",PaymentMethodIssues,"PaymentValidationException,PaymentVerificationFailureException,Incompatible payment method,Payment method expired,Invalid API credentials,Incorrect payment method selected,Payment method not accepted,Payment source expired,Payment method revoked"
ArrayIndexOutOfBoundsException,SystemIssues,"PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
PaymentProcessingException,SystemIssues,"PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
IllegalArgumentException,SystemIssues,"PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
ClassNotFoundException,SystemIssues,"PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
NoSuchMethodException,SystemIssues,"PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
InterruptedException,SystemIssues,"PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
ClassCastException,SystemIssues,"PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
NullPointerException,SystemIssues,"PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
InvocationTargetException,SystemIssues,"PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
IllegalStateException,SystemIssues,"PaymentProcessingException,ClassNotFoundException,InvocationTargetException,InterruptedException,NoSuchMethodException,NullPointerException,ArrayIndexOutOfBoundsException,IllegalStateException,ClassCastException,IllegalArgumentException"
PaymentLimitExceededException,TransactionIssues,"PaymentLimitExceededException,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Transaction amount exceeds limit",TransactionIssues,"PaymentLimitExceededException,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Duplicate transaction",TransactionIssues,"PaymentLimitExceededException,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Transaction ID already used",TransactionIssues,"PaymentLimitExceededException,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Payment request canceled",TransactionIssues,"PaymentLimitExceededException,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Invalid transaction ID",TransactionIssues,"PaymentLimitExceededException,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Payment request expired",TransactionIssues,"PaymentLimitExceededException,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Transaction declined by merchant",TransactionIssues,"PaymentLimitExceededException,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Invalid merchant identification",TransactionIssues,"PaymentLimitExceededException,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Invalid payment request",TransactionIssues,"PaymentLimitExceededException,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Duplicate payment request",TransactionIssues,"PaymentLimitExceededException,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
"Invalid payment amount",TransactionIssues,"PaymentLimitExceededException,Invalid payment amount,Transaction declined by merchant,Transaction amount exceeds limit,Invalid transaction ID,Duplicate transaction,Transaction ID already used,Transaction amount too low,Invalid merchant identification,Invalid payment request,Payment request expired,Payment request canceled,Duplicate payment request"
